1600,10,Win,Fail
240,185345,29,27871,63,4783,64,34889,1,70420,1
24,40339,238,111714,432,5047,51,19160,17,2814,0
54,5486,99,1262903,236,53689,107,75863,238,19014,0
25,51947,96,208386,103,23100,62,65080,92,162537,1
222,22995,63,21061,24,143928,150,456660,238,4920,0
41,194174,5,1183645,53,150301,61,16274,51,59793,1
21,145514,99,85155,103,36910,122,379759,141,51073,0
25,93611,59,3277,85,57427,112,82009,15,37942,1
143,103129,96,45022,157,71190,134,36223,50,49946,1
35,15874,150,13222,110,132624,61,21585,40,58989,0
254,119937,497,35352,15,23487,163,60313,126,33750,0
412,22624,24,51329,50,211623,81,17898,19,12395,1
69,10335,64,125715,126,65880,29,499621,53,785275,1
40,110428,41,15353,61,157113,119,26224,102,73142,0
91,19792,57,76226,67,10806,16,98340,28,132948,1
5,13256,18,26961,58,4342,40,31672,268,206615,0
14,104806,498,21908,121,46040,497,6071,55,547891,0
33,30342,39,166527,412,303730,238,64761,222,45353,1
4,50780,77,87772,12,11233,22,31863,80,12496,1
79,18659,62,20608,267,218537,84,6823,29,334552,0
81,25412,19,150294,21,20366,63,43296,86,142706,0
201,5622,4,285444,238,122048,64,38147,222,42314,0
14,57465,55,125978,18,39806,114,81927,141,28500,0
29,3454,79,74233,432,67150,127,16669,420,19438,0
115,36089,51,11303,86,13479,5,75764,16,28725,1
19,66875,75,237784,99,160126,45,17263,67,69149,0
103,19120,41,59825,201,70477,429,2778,32,84124,1
11,179579,105,625,92,222364,89,99604,96,188901,0
157,73444,420,51151,12,24644,67,68717,24,49243,1
75,670664,238,199346,31,14607,18,83964,143,14841,1
497,98353,24,13975,498,10538,59,27657,1,67064,0
26,599734,112,133998,18,27159,20,312748,126,143881,0
161,207557,59,28046,23,613311,412,160450,15,12130,1
6,89029,5,57030,245,51976,236,15379,267,50813,0
498,23819,44,188461,19,185888,55,119724,86,284681,1
21,34330,25,27530,33,34189,45,28651,27,15895,1
24,9128,161,7891,67,13285,201,146528,19,69542,0
101,92646,58,71713,51,6151,19,27741,40,3415,1
99,126057,86,77697,11,8274,1,21588,21,113244,0
34,75322,14,266368,53,10863,18,1652,19,26371,0
16,127252,134,57857,29,134337,58,18609,79,178155,1
