400,10,Fail,Win
99,28258,85,705620,412,19107,113,25728,498,66037,1
126,32620,18,186924,64,16796,39,208066,12,55328,0
22,389163,37,26064,112,970,98,137542,120,46488,0
150,104104,498,78898,113,36088,238,114685,412,106285,1
202,17145,64,25155,7,562585,37,32739,420,556274,1
41,453479,103,57750,254,65998,498,90973,20,13315,0
28,8815,429,71615,17,73895,90,23002,89,61910,0
38,28104,412,7297,31,58419,254,24616,498,109977,1
99,18738,164,133965,15,50088,154,18013,31,20101,1
32,30379,238,5434,429,14358,85,9928,89,216176,0
78,119308,2,10430,161,91992,15,72229,35,124992,0
18,74683,11,34755,38,34148,40,230683,92,294831,1
90,21541,31,44966,67,75051,111,128441,106,68511,1
121,32681,12,46074,29,56776,238,16999,59,8751,0
16,30194,131,200731,2,56630,516,129122,498,206930,0
91,22254,67,384748,161,11163,106,33389,122,119058,1
134,15165,19,23458,12,91096,23,142770,22,64551,1
267,23365,67,39139,64,150473,4,19640,17,69384,0
37,3254,150,46174,21,316561,254,19032,43,2605,1
40,4745,45,420903,86,77624,110,369283,50,349247,0
82,54095,56,39765,67,45429,63,54556,99,460631,0
67,981366,24,7365,12,25092,4,226165,141,40775,0
222,83683,40,12797,131,48903,23,167695,122,143478,0
201,2616,78,358743,420,670578,119,353090,115,15064,1
203,65516,53,10101,202,8847,14,96503,112,119211,0
18,3729,120,163920,53,57642,92,98835,131,30241,0
105,76421,20,27267,57,14641,21,232020,1,924055,1
75,13889,9,830640,89,15799,236,67973,30,56336,1
8,5697,119,343126,11,163555,412,126365,122,51719,0
59,11400,497,175371,29,129823,86,15963,61,17267,0
238,210483,85,116040,117,10054,33,9997,18,20757,1
497,9187,245,19306,29,26419,75,24908,36,7338,1
67,65364,19,36542,122,121417,45,15036,78,195,0
8,15146,44,452508,31,10727,67,134033,98,77774,1
19,171040,150,22212,81,37369,37,46026,38,152445,0
24,36224,84,96563,5,15329,67,17014,497,20702,0
17,2420,80,40285,29,98080,74,53903,59,16346,1
86,315325,238,69770,53,310156,23,8142,236,61740,0
21,123703,245,18378,143,542204,203,17586,17,551588,1
99,518812,19,75022,429,42144,40,42930,59,4363,0
80,141394,117,9932,202,591672,157,185867,35,22463,1
43,9077,15,150396,103,219165,48,23462,254,77667,0
62,13976,16,143627,96,47495,24,103416,84,55053,1
157,2150146,429,9127,20,28691,201,204125,122,41300,0
43,135338,92,5574304,28,1228815,45,9390,202,23329,1
99,459834,412,45588,67,338364,122,174769,141,83334,1
119,108192,75,586506,57,8195,32,17427,86,30162,0
39,29773,40,127160,96,8012,1,30065,120,11512,1
18,97781,25,841,236,76658,11,31049,54,13553,0
67,356498,254,87885,40,80372,238,243283,82,6254,1
240,68691,121,17605,498,17696,63,18947,61,25751,0
412,55006,429,19202,90,585750,64,327523,80,57878,0
114,36496,59,96341,29,86074,16,115540,245,71744,1
96,25291,68,53298,107,37133,103,52507,89,115349,1
19,86829,53,49625,21,9728,236,8204,98,678565,0
421,6105,4,118026,150,29133,222,3317,12,87445,0
43,55106,98,48183,18,63303,59,15288,134,57875,1
30,9211,121,136643,40,140156,39,67341,18,60137,0
141,56355,23,94658,161,14459,202,27256,412,91200,1
